ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2017,CE,Masculino,4,1,Conta própria,1453,749.53957329662774
2014,AC,Masculino,4,1,Conta própria,909,946.31374722838166
2014,AP,Masculino,3,1,Conta própria,5,1560
2016,SC,Masculino,1,1,Conta própria,2438,2294.949548810499
2016,GO,Masculino,5,1,Conta própria,3,1933.3333333333333
2018,PR,Masculino,5,1,Conta própria,7,2342.8571428571427
2024,SC,Feminino,2,1,Conta própria,41,2593.9024390243903
2021,PR,Feminino,2,1,Conta própria,26,1298.6923076923076
2019,RR,Masculino,2,1,Conta própria,61,1040.9180327868855
2018,PE,Masculino,3,1,Conta própria,8,1989.25
2024,AL,Masculino,1,1,Conta própria,280,1753.5857142857142
2021,AP,Feminino,5,1,Conta própria,1,500
2018,SE,Masculino,5,1,Conta própria,2,1800
2024,AC,Masculino,1,1,Conta própria,82,3337.4634146341464
2013,PE,Masculino,3,1,Conta própria,1,1500
2024,RS,Feminino,3,1,Conta própria,2,4000
2015,MG,Feminino,1,1,Conta própria,608,1255.4424342105262
2015,RO,Feminino,2,1,Conta própria,28,795.85714285714289
2015,MS,Feminino,4,1,Conta própria,220,977.64383561643831
2015,PB,Masculino,1,1,Conta própria,361,1201.9444444444446
2012,AL,Feminino,4,1,Conta própria,468,565.0864485981308
2023,ES,Feminino,3,1,Conta própria,4,3475
2016,PA,Masculino,5,1,Conta própria,26,639.73076923076917
2016,AM,Masculino,2,1,Conta própria,53,759.05660377358492
2016,AM,Feminino,3,1,Conta própria,3,1233.3333333333335
2017,PI,Masculino,5,1,Conta própria,1,937
2018,AL,Feminino,2,1,Conta própria,24,535.04166666666663
2024,ES,Masculino,4,1,Conta própria,619,3096.6445880452343
2019,RS,Masculino,5,1,Conta própria,7,971.42857142857144
2019,MS,Feminino,1,1,Conta própria,228,1491.4078947368423
2021,AP,Masculino,4,1,Conta própria,339,1229.8672566371697
2021,SC,Masculino,2,1,Conta própria,73,2096.5753424657537
2018,PI,Masculino,4,1,Conta própria,738,789.03658536585408
2022,AL,Feminino,5,1,Conta própria,1,400
2020,BA,Masculino,1,1,Conta própria,223,943.34977578475343
2015,PE,Masculino,1,1,Conta própria,480,1151.901467505241
2015,RS,Feminino,3,1,Conta própria,3,2133.333333333333
2012,MG,Feminino,1,1,Conta própria,547,1018.2794117647059
2015,PB,Masculino,2,1,Conta própria,44,943.32558139534865
2012,PR,Masculino,4,1,Conta própria,518,1274.5656370656372
2014,MA,Feminino,2,1,Conta própria,193,361.45856353591165
2013,MT,Masculino,4,1,Conta própria,706,1425.2968750000007
2013,MT,Feminino,2,1,Conta própria,35,990.17142857142846
2013,SC,Feminino,1,1,Conta própria,967,1356.7559462254396
2016,SE,Masculino,3,1,Conta própria,2,540
2017,TO,Masculino,4,1,Conta própria,432,1263.7638888888885
2014,AP,Feminino,5,1,Conta própria,1,1500
2017,MT,Feminino,4,1,Conta própria,250,1229.4039999999998
2013,RO,Masculino,1,1,Conta própria,348,1357.103746397695
2017,RJ,Feminino,4,1,Conta própria,657,1201.1156773211567
2018,MS,Feminino,3,1,Conta própria,3,2333.3333333333335
2022,RR,Masculino,4,1,Conta própria,308,2160.4480519480521
2018,ES,Masculino,1,1,Conta própria,752,2162.0398936170213
2018,RS,Masculino,1,1,Conta própria,2236,2382.1784436493731
2017,RR,Feminino,1,1,Conta própria,49,1276.7346938775511
2024,RO,Masculino,4,1,Conta própria,623,2512.8298555377214
2024,AM,Feminino,1,1,Conta própria,75,1811.9466666666667
2019,ES,Masculino,4,1,Conta própria,817,1654.2031823745413
2019,MA,Masculino,2,1,Conta própria,391,829.85933503836316
2022,MG,Masculino,3,1,Conta própria,9,1524.8888888888889
2017,RJ,Masculino,9,1,Conta própria,4,1950
2024,GO,Masculino,5,1,Conta própria,1,10000
2020,GO,Masculino,3,1,Conta própria,2,2500
2019,GO,Masculino,1,1,Conta própria,553,2225.1301989150088
2021,SE,Feminino,5,1,Conta própria,2,275
2021,DF,Masculino,5,1,Conta própria,1,2000
2012,MT,Feminino,3,1,Conta própria,3,2233.3333333333335
2012,AL,Masculino,2,1,Conta própria,65,753.40384615384619
2015,MT,Feminino,4,1,Conta própria,252,1075.1111111111113
2023,MA,Feminino,2,1,Conta própria,168,698.44642857142867
2023,CE,Masculino,1,1,Conta própria,378,1964.6005291005295
2023,MS,Masculino,4,1,Conta própria,351,2554.3589743589741
2013,RN,Masculino,2,1,Conta própria,35,672.4
2013,DF,Feminino,1,1,Conta própria,134,2253.3507462686571
2020,RJ,Feminino,3,1,Conta própria,1,1750
2018,MG,Masculino,4,1,Conta própria,1638,1360.0439560439561
2018,MS,Masculino,1,1,Conta própria,376,2171.8882978723391
2018,RO,Masculino,2,1,Conta própria,102,1305.6078431372553
2017,RO,Feminino,4,1,Conta própria,181,904.35911602209956
2022,AM,Feminino,3,1,Conta própria,2,806
2019,SP,Feminino,5,1,Conta própria,2,800
2018,AC,Feminino,3,1,Conta própria,3,1150
2018,SP,Feminino,3,1,Conta própria,35,2608.5714285714284
