ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1988,MG,Masculino,1553080,
1988,MS,Feminino,67551,
1988,MS,Masculino,146582,
1988,MT,Feminino,53331,
1988,MT,Masculino,124550,
1988,PA,Feminino,132424,
1988,PA,Masculino,259943,
1988,PB,Feminino,131796,
1988,PB,Masculino,155705,
1988,PE,Feminino,266882,
1988,PE,Masculino,579134,
1988,PI,Feminino,76600,
1988,PI,Masculino,97552,
1988,PR,Feminino,430450,
1988,PR,Masculino,906355,
1988,RJ,Feminino,991851,
1988,RJ,Masculino,2038902,
1988,RN,Feminino,108789,
1988,RN,Masculino,148488,
1988,RO,Feminino,40828,
1988,RO,Masculino,69104,
1988,RR,Feminino,6714,
1988,RR,Masculino,8878,
1988,RS,Feminino,694051,
1988,RS,Masculino,1140097,
1988,SC,Feminino,289158,
1988,SC,Masculino,569523,
1988,SE,Feminino,73883,
1988,SE,Masculino,109777,
1988,SP,Feminino,2542627,
1988,SP,Masculino,5352922,
1989,AC,Feminino,21005,
1989,AC,Masculino,23061,
1989,AL,Feminino,100154,
1989,AL,Masculino,160175,
1989,AM,Feminino,115773,
1989,AM,Masculino,155362,
1989,AP,Feminino,11624,
1989,AP,Masculino,19586,
1989,BA,Feminino,344290,
1989,BA,Masculino,587280,
1989,CE,Feminino,258558,
1989,CE,Masculino,299724,
1989,DF,Feminino,169416,
1989,DF,Masculino,399099,
1989,ES,Feminino,130297,
1989,ES,Masculino,259642,
1989,GO,Feminino,172043,
1989,GO,Masculino,274496,
1989,IGNORADO,Feminino,57300,
1989,IGNORADO,Masculino,243464,
1989,MA,Feminino,100504,
1989,MA,Masculino,143570,
1989,MG,Feminino,734448,
1989,MG,Masculino,1589686,
1989,MS,Feminino,73668,
1989,MS,Masculino,147493,
1989,MT,Feminino,48632,
1989,MT,Masculino,115264,
1989,PA,Feminino,130818,
1989,PA,Masculino,254482,
1989,PB,Feminino,137758,
1989,PB,Masculino,161851,
1989,PE,Feminino,274190,
1989,PE,Masculino,579119,
1989,PI,Feminino,79717,
1989,PI,Masculino,97849,
1989,PR,Feminino,453333,
1989,PR,Masculino,916891,
1989,RJ,Feminino,1011749,
1989,RJ,Masculino,2016895,
1989,RN,Feminino,77742,
1989,RN,Masculino,134604,
1989,RO,Feminino,47162,
1989,RO,Masculino,77321,
1989,RR,Feminino,8111,
1989,RR,Masculino,11215,
1989,RS,Feminino,716864,
1989,RS,Masculino,1143402,
1989,SC,Feminino,312227,
1989,SC,Masculino,598497,
1989,SE,Feminino,75046,
1989,SE,Masculino,106909,
1989,SP,Feminino,2693179,
1989,SP,Masculino,5538304,
1989,TO,Feminino,14560,
1989,TO,Masculino,13797,
1990,AC,Feminino,22322,
1990,AC,Masculino,23914,
1990,AL,Feminino,100093,
1990,AL,Masculino,159027,
1990,AM,Feminino,109233,
1990,AM,Masculino,141472,
1990,AP,Feminino,14442,
1990,AP,Masculino,20774,
1990,BA,Feminino,341604,
1990,BA,Masculino,574276,
1990,CE,Feminino,244693,
1990,CE,Masculino,285728,
1990,DF,Feminino,168398,
1990,DF,Masculino,372953,
1990,ES,Feminino,129335,
1990,ES,Masculino,245286,
1990,GO,Feminino,167201,
1990,GO,Masculino,266856,
1990,IGNORADO,Feminino,60899,
1990,IGNORADO,Masculino,277716,
1990,MA,Feminino,100480,
1990,MA,Masculino,129318,
1990,MG,Feminino,726304,
1990,MG,Masculino,1467655,
1990,MS,Feminino,72847,
1990,MS,Masculino,135433,
1990,MT,Feminino,69340,
1990,MT,Masculino,127161,
1990,PA,Feminino,128182,
1990,PA,Masculino,236202,
1990,PB,Feminino,131699,
1990,PB,Masculino,157555,
1990,PE,Feminino,271146,
1990,PE,Masculino,545338,
1990,PI,Feminino,80771,
1990,PI,Masculino,92615,
1990,PR,Feminino,443888,
1990,PR,Masculino,845534,
1990,RJ,Feminino,969571,
1990,RJ,Masculino,1868981,
1990,RN,Feminino,113462,
1990,RN,Masculino,144731,
1990,RO,Feminino,41078,
1990,RO,Masculino,57351,
1990,RR,Feminino,2528,
1990,RR,Masculino,6991,
1990,RS,Feminino,683819,
1990,RS,Masculino,1062692,
1990,SC,Feminino,301886,
1990,SC,Masculino,559624,
1990,SE,Feminino,75440,
1990,SE,Masculino,107092,
1990,SP,Feminino,2592377,
1990,SP,Masculino,5039829,
1990,TO,Feminino,14064,
1990,TO,Masculino,14055,
1991,AC,Feminino,21384,
1991,AC,Masculino,24178,
1991,AL,Feminino,100887,
1991,AL,Masculino,153589,
1991,AM,Feminino,100055,
1991,AM,Masculino,133726,
1991,AP,Feminino,12835,
1991,AP,Masculino,20475,
1991,BA,Feminino,343701,
1991,BA,Masculino,553698,
1991,CE,Feminino,249818,
1991,CE,Masculino,299761,
1991,DF,Feminino,178167,
1991,DF,Masculino,393144,
1991,ES,Feminino,134275,
1991,ES,Masculino,243805,
1991,GO,Feminino,168658,
1991,GO,Masculino,266270,
1991,IGNORADO,Feminino,58057,
1991,IGNORADO,Masculino,332002,
1991,MA,Feminino,105031,
1991,MA,Masculino,131415,
1991,MG,Feminino,724421,
1991,MG,Masculino,1444410,
1991,MS,Feminino,77379,
1991,MS,Masculino,139837,
1991,MT,Feminino,66572,
1991,MT,Masculino,118507,
1991,PA,Feminino,129150,
1991,PA,Masculino,225129,
1991,PB,Feminino,138776,
1991,PB,Masculino,156643,
1991,PE,Feminino,280258,
1991,PE,Masculino,538189,
1991,PI,Feminino,81092,
1991,PI,Masculino,95841,
1991,PR,Feminino,402119,
1991,PR,Masculino,790386,
1991,RJ,Feminino,952840,
1991,RJ,Masculino,1832209,
1991,RN,Feminino,119418,
1991,RN,Masculino,146124,
1991,RO,Feminino,44412,
1991,RO,Masculino,60500,
1991,RR,Feminino,8668,
1991,RR,Masculino,11279,
1991,RS,Feminino,653241,
1991,RS,Masculino,1014644,
1991,SC,Feminino,294292,
1991,SC,Masculino,542460,
1991,SE,Feminino,55918,
1991,SE,Masculino,93163,
