ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2018,CE,Feminino,Amarela,Na força de trabalho,Conta própria,841,613.77
2022,CE,Masculino,Parda,Na força de trabalho,Conta própria,10,1498.2
2019,MS,Masculino,Preta,Na força de trabalho,Conta própria,60,1957.92
2017,MG,Feminino,Branca,Na força de trabalho,Conta própria,609,1358.99
2018,PB,Masculino,Branca,Na força de trabalho,Conta própria,336,1116.18
2022,GO,Masculino,Preta,Na força de trabalho,Conta própria,91,2072.07
2021,MA,Feminino,Amarela,Na força de trabalho,Conta própria,4,225.0
2020,AP,Feminino,Preta,Na força de trabalho,Conta própria,10,1084.5
2020,SE,Feminino,Amarela,Na força de trabalho,Conta própria,1,400.0
2020,DF,Masculino,Preta,Na força de trabalho,Conta própria,48,1831.04
2017,DF,Masculino,Amarela,Na força de trabalho,Conta própria,1,12000.0
2015,GO,Masculino,Preta,Na força de trabalho,Conta própria,126,1524.79
2015,AP,Masculino,Branca,Na força de trabalho,Conta própria,101,1444.67
2012,AL,Feminino,Preta,Na força de trabalho,Conta própria,24,499.81
2012,RS,Masculino,Branca,Na força de trabalho,Conta própria,2347,1592.19
2012,PB,Feminino,Amarela,Na força de trabalho,Conta própria,3,250.0
2012,RO,Masculino,Preta,Na força de trabalho,Conta própria,97,1054.08
2014,DF,Feminino,Branca,Na força de trabalho,Conta própria,117,1904.91
2014,DF,Masculino,Parda,Na força de trabalho,Conta própria,7,2279.0
2023,PI,Masculino,Amarela,Na força de trabalho,Conta própria,486,1256.19
2023,GO,Masculino,Amarela,Na força de trabalho,Conta própria,640,2846.59
2017,CE,Masculino,Amarela,Na força de trabalho,Conta própria,1453,749.54
2014,AC,Masculino,Amarela,Na força de trabalho,Conta própria,909,946.31
2014,AP,Masculino,Parda,Na força de trabalho,Conta própria,5,1560.0
2016,SC,Masculino,Branca,Na força de trabalho,Conta própria,2438,2294.95
2016,GO,Masculino,Amarela,Na força de trabalho,Conta própria,3,1933.33
2018,PR,Masculino,Amarela,Na força de trabalho,Conta própria,7,2342.86
2024,SC,Feminino,Preta,Na força de trabalho,Conta própria,41,2593.9
2021,PR,Feminino,Preta,Na força de trabalho,Conta própria,26,1298.69
2019,RR,Masculino,Preta,Na força de trabalho,Conta própria,61,1040.92
2018,PE,Masculino,Parda,Na força de trabalho,Conta própria,8,1989.25
2024,AL,Masculino,Branca,Na força de trabalho,Conta própria,280,1753.59
2021,AP,Feminino,Amarela,Na força de trabalho,Conta própria,1,500.0
2018,SE,Masculino,Amarela,Na força de trabalho,Conta própria,2,1800.0
2024,AC,Masculino,Branca,Na força de trabalho,Conta própria,82,3337.46
2013,PE,Masculino,Parda,Na força de trabalho,Conta própria,1,1500.0
2024,RS,Feminino,Parda,Na força de trabalho,Conta própria,2,4000.0
2015,MG,Feminino,Branca,Na força de trabalho,Conta própria,608,1255.44
2015,RO,Feminino,Preta,Na força de trabalho,Conta própria,28,795.86
2015,MS,Feminino,Amarela,Na força de trabalho,Conta própria,220,977.64
2015,PB,Masculino,Branca,Na força de trabalho,Conta própria,361,1201.94
2012,AL,Feminino,Amarela,Na força de trabalho,Conta própria,468,565.09
2023,ES,Feminino,Parda,Na força de trabalho,Conta própria,4,3475.0
2016,PA,Masculino,Amarela,Na força de trabalho,Conta própria,26,639.73
2016,AM,Masculino,Preta,Na força de trabalho,Conta própria,53,759.06
2016,AM,Feminino,Parda,Na força de trabalho,Conta própria,3,1233.33
2017,PI,Masculino,Amarela,Na força de trabalho,Conta própria,1,937.0
2018,AL,Feminino,Preta,Na força de trabalho,Conta própria,24,535.04
2024,ES,Masculino,Amarela,Na força de trabalho,Conta própria,619,3096.64
2019,RS,Masculino,Amarela,Na força de trabalho,Conta própria,7,971.43
2019,MS,Feminino,Branca,Na força de trabalho,Conta própria,228,1491.41
2021,AP,Masculino,Amarela,Na força de trabalho,Conta própria,339,1229.87
2021,SC,Masculino,Preta,Na força de trabalho,Conta própria,73,2096.58
2018,PI,Masculino,Amarela,Na força de trabalho,Conta própria,738,789.04
2022,AL,Feminino,Amarela,Na força de trabalho,Conta própria,1,400.0
2020,BA,Masculino,Branca,Na força de trabalho,Conta própria,223,943.35
2015,PE,Masculino,Branca,Na força de trabalho,Conta própria,480,1151.9
2015,RS,Feminino,Parda,Na força de trabalho,Conta própria,3,2133.33
2012,MG,Feminino,Branca,Na força de trabalho,Conta própria,547,1018.28
2015,PB,Masculino,Preta,Na força de trabalho,Conta própria,44,943.33
2012,PR,Masculino,Amarela,Na força de trabalho,Conta própria,518,1274.57
2014,MA,Feminino,Preta,Na força de trabalho,Conta própria,193,361.46
2013,MT,Masculino,Amarela,Na força de trabalho,Conta própria,706,1425.3
2013,MT,Feminino,Preta,Na força de trabalho,Conta própria,35,990.17
2013,SC,Feminino,Branca,Na força de trabalho,Conta própria,967,1356.76
2016,SE,Masculino,Parda,Na força de trabalho,Conta própria,2,540.0
2017,TO,Masculino,Amarela,Na força de trabalho,Conta própria,432,1263.76
2014,AP,Feminino,Amarela,Na força de trabalho,Conta própria,1,1500.0
2017,MT,Feminino,Amarela,Na força de trabalho,Conta própria,250,1229.4
2013,RO,Masculino,Branca,Na força de trabalho,Conta própria,348,1357.1
2017,RJ,Feminino,Amarela,Na força de trabalho,Conta própria,657,1201.12
2018,MS,Feminino,Parda,Na força de trabalho,Conta própria,3,2333.33
2022,RR,Masculino,Amarela,Na força de trabalho,Conta própria,308,2160.45
2018,ES,Masculino,Branca,Na força de trabalho,Conta própria,752,2162.04
2018,RS,Masculino,Branca,Na força de trabalho,Conta própria,2236,2382.18
2017,RR,Feminino,Branca,Na força de trabalho,Conta própria,49,1276.73
2024,RO,Masculino,Amarela,Na força de trabalho,Conta própria,623,2512.83
2024,AM,Feminino,Branca,Na força de trabalho,Conta própria,75,1811.95
2019,ES,Masculino,Amarela,Na força de trabalho,Conta própria,817,1654.2
2019,MA,Masculino,Preta,Na força de trabalho,Conta própria,391,829.86
2022,MG,Masculino,Parda,Na força de trabalho,Conta própria,9,1524.89
2017,RJ,Masculino,Não informado,Na força de trabalho,Conta própria,4,1950.0
2024,GO,Masculino,Amarela,Na força de trabalho,Conta própria,1,10000.0
2020,GO,Masculino,Parda,Na força de trabalho,Conta própria,2,2500.0
2019,GO,Masculino,Branca,Na força de trabalho,Conta própria,553,2225.13
2021,SE,Feminino,Amarela,Na força de trabalho,Conta própria,2,275.0
2021,DF,Masculino,Amarela,Na força de trabalho,Conta própria,1,2000.0
2012,MT,Feminino,Parda,Na força de trabalho,Conta própria,3,2233.33
2012,AL,Masculino,Preta,Na força de trabalho,Conta própria,65,753.4
2015,MT,Feminino,Amarela,Na força de trabalho,Conta própria,252,1075.11
2023,MA,Feminino,Preta,Na força de trabalho,Conta própria,168,698.45
2023,CE,Masculino,Branca,Na força de trabalho,Conta própria,378,1964.6
2023,MS,Masculino,Amarela,Na força de trabalho,Conta própria,351,2554.36
2013,RN,Masculino,Preta,Na força de trabalho,Conta própria,35,672.4
2013,DF,Feminino,Branca,Na força de trabalho,Conta própria,134,2253.35
2020,RJ,Feminino,Parda,Na força de trabalho,Conta própria,1,1750.0
2018,MG,Masculino,Amarela,Na força de trabalho,Conta própria,1638,1360.04
