ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1988,AC,Feminino,20282,0.0
1988,AC,Masculino,24427,0.0
1988,AL,Feminino,102248,0.0
1988,AL,Masculino,168601,0.0
1988,AM,Feminino,101210,0.0
1988,AM,Masculino,148006,0.0
1988,AP,Feminino,10428,0.0
1988,AP,Masculino,17780,0.0
1988,BA,Feminino,336512,0.0
1988,BA,Masculino,577718,0.0
1988,CE,Feminino,261014,0.0
1988,CE,Masculino,304165,0.0
1988,DF,Feminino,162998,0.0
1988,DF,Masculino,385603,0.0
1988,ES,Feminino,123172,0.0
1988,ES,Masculino,251522,0.0
1988,GO,Feminino,185948,0.0
1988,GO,Masculino,305316,0.0
1988,MA,Feminino,96560,0.0
1988,MA,Masculino,141463,0.0
1988,MG,Feminino,689463,0.0
1988,MG,Masculino,1553080,0.0
1988,MS,Feminino,67551,0.0
1988,MS,Masculino,146582,0.0
1988,MT,Feminino,53331,0.0
1988,MT,Masculino,124550,0.0
1988,PA,Feminino,132424,0.0
1988,PA,Masculino,259943,0.0
1988,PB,Feminino,131796,0.0
1988,PB,Masculino,155705,0.0
1988,PE,Feminino,266882,0.0
1988,PE,Masculino,579134,0.0
1988,PI,Feminino,76600,0.0
1988,PI,Masculino,97552,0.0
1988,PR,Feminino,430450,0.0
1988,PR,Masculino,906355,0.0
1988,RJ,Feminino,991851,0.0
1988,RJ,Masculino,2038902,0.0
1988,RN,Feminino,108789,0.0
1988,RN,Masculino,148488,0.0
1988,RO,Feminino,40828,0.0
1988,RO,Masculino,69104,0.0
1988,RR,Feminino,6714,0.0
1988,RR,Masculino,8878,0.0
1988,RS,Feminino,694051,0.0
1988,RS,Masculino,1140097,0.0
1988,SC,Feminino,289158,0.0
1988,SC,Masculino,569523,0.0
1988,SE,Feminino,73883,0.0
1988,SE,Masculino,109777,0.0
1988,SP,Feminino,2542627,0.0
1988,SP,Masculino,5352922,0.0
1989,AC,Feminino,21005,0.0
1989,AC,Masculino,23061,0.0
1989,AL,Feminino,100154,0.0
1989,AL,Masculino,160175,0.0
1989,AM,Feminino,115773,0.0
1989,AM,Masculino,155362,0.0
1989,AP,Feminino,11624,0.0
1989,AP,Masculino,19586,0.0
1989,BA,Feminino,344290,0.0
1989,BA,Masculino,587280,0.0
1989,CE,Feminino,258558,0.0
1989,CE,Masculino,299724,0.0
1989,DF,Feminino,169416,0.0
1989,DF,Masculino,399099,0.0
1989,ES,Feminino,130297,0.0
1989,ES,Masculino,259642,0.0
1989,GO,Feminino,172043,0.0
1989,GO,Masculino,274496,0.0
1989,MA,Feminino,100504,0.0
1989,MA,Masculino,143570,0.0
1989,MG,Feminino,734448,0.0
1989,MG,Masculino,1589686,0.0
1989,MS,Feminino,73668,0.0
1989,MS,Masculino,147493,0.0
1989,MT,Feminino,48632,0.0
1989,MT,Masculino,115264,0.0
1989,PA,Feminino,130818,0.0
1989,PA,Masculino,254482,0.0
1989,PB,Feminino,137758,0.0
1989,PB,Masculino,161851,0.0
1989,PE,Feminino,274190,0.0
1989,PE,Masculino,579119,0.0
1989,PI,Feminino,79717,0.0
1989,PI,Masculino,97849,0.0
1989,PR,Feminino,453333,0.0
1989,PR,Masculino,916891,0.0
1989,RJ,Feminino,1011749,0.0
1989,RJ,Masculino,2016895,0.0
1989,RN,Feminino,77742,0.0
1989,RN,Masculino,134604,0.0
1989,RO,Feminino,47162,0.0
1989,RO,Masculino,77321,0.0
1989,RR,Feminino,8111,0.0
1989,RR,Masculino,11215,0.0
1989,RS,Feminino,716864,0.0
1989,RS,Masculino,1143402,0.0
1989,SC,Feminino,312227,0.0
1989,SC,Masculino,598497,0.0
1989,SE,Feminino,75046,0.0
1989,SE,Masculino,106909,0.0
1989,SP,Feminino,2693179,0.0
1989,SP,Masculino,5538304,0.0
1989,TO,Feminino,14560,0.0
1989,TO,Masculino,13797,0.0
1990,AC,Feminino,22322,0.0
1990,AC,Masculino,23914,0.0
1990,AL,Feminino,100093,0.0
1990,AL,Masculino,159027,0.0
1990,AM,Feminino,109233,0.0
1990,AM,Masculino,141472,0.0
1990,AP,Feminino,14442,0.0
1990,AP,Masculino,20774,0.0
1990,BA,Feminino,341604,0.0
1990,BA,Masculino,574276,0.0
1990,CE,Feminino,244693,0.0
1990,CE,Masculino,285728,0.0
1990,DF,Feminino,168398,0.0
1990,DF,Masculino,372953,0.0
1990,ES,Feminino,129335,0.0
1990,ES,Masculino,245286,0.0
1990,GO,Feminino,167201,0.0
1990,GO,Masculino,266856,0.0
1990,MA,Feminino,100480,0.0
1990,MA,Masculino,129318,0.0
1990,MG,Feminino,726304,0.0
1990,MG,Masculino,1467655,0.0
1990,MS,Feminino,72847,0.0
1990,MS,Masculino,135433,0.0
1990,MT,Feminino,69340,0.0
1990,MT,Masculino,127161,0.0
1990,PA,Feminino,128182,0.0
1990,PA,Masculino,236202,0.0
1990,PB,Feminino,131699,0.0
1990,PB,Masculino,157555,0.0
1990,PE,Feminino,271146,0.0
1990,PE,Masculino,545338,0.0
1990,PI,Feminino,80771,0.0
1990,PI,Masculino,92615,0.0
1990,PR,Feminino,443888,0.0
1990,PR,Masculino,845534,0.0
1990,RJ,Feminino,969571,0.0
1990,RJ,Masculino,1868981,0.0
1990,RN,Feminino,113462,0.0
1990,RN,Masculino,144731,0.0
1990,RO,Feminino,41078,0.0
1990,RO,Masculino,57351,0.0
1990,RR,Feminino,2528,0.0
1990,RR,Masculino,6991,0.0
1990,RS,Feminino,683819,0.0
1990,RS,Masculino,1062692,0.0
1990,SC,Feminino,301886,0.0
1990,SC,Masculino,559624,0.0
1990,SE,Feminino,75440,0.0
1990,SE,Masculino,107092,0.0
1990,SP,Feminino,2592377,0.0
1990,SP,Masculino,5039829,0.0
1990,TO,Feminino,14064,0.0
1990,TO,Masculino,14055,0.0
1991,AC,Feminino,21384,0.0
1991,AC,Masculino,24178,0.0
1991,AL,Feminino,100887,0.0
1991,AL,Masculino,153589,0.0
1991,AM,Feminino,100055,0.0
1991,AM,Masculino,133726,0.0
1991,AP,Feminino,12835,0.0
1991,AP,Masculino,20475,0.0
1991,BA,Feminino,343701,0.0
1991,BA,Masculino,553698,0.0
1991,CE,Feminino,249818,0.0
1991,CE,Masculino,299761,0.0
1991,DF,Feminino,178167,0.0
1991,DF,Masculino,393144,0.0
1991,ES,Feminino,134275,0.0
1991,ES,Masculino,243805,0.0
1991,GO,Feminino,168658,0.0
1991,GO,Masculino,266270,0.0
1991,MA,Feminino,105031,0.0
1991,MA,Masculino,131415,0.0
1991,MG,Feminino,724421,0.0
1991,MG,Masculino,1444410,0.0
1991,MS,Feminino,77379,0.0
1991,MS,Masculino,139837,0.0
1991,MT,Feminino,66572,0.0
1991,MT,Masculino,118507,0.0
1991,PA,Feminino,129150,0.0
1991,PA,Masculino,225129,0.0
1991,PB,Feminino,138776,0.0
1991,PB,Masculino,156643,0.0
1991,PE,Feminino,280258,0.0
1991,PE,Masculino,538189,0.0
1991,PI,Feminino,81092,0.0
1991,PI,Masculino,95841,0.0
1991,PR,Feminino,402119,0.0
1991,PR,Masculino,790386,0.0
1991,RJ,Feminino,952840,0.0
1991,RJ,Masculino,1832209,0.0
1991,RN,Feminino,119418,0.0
1991,RN,Masculino,146124,0.0
1991,RO,Feminino,44412,0.0
1991,RO,Masculino,60500,0.0
1991,RR,Feminino,8668,0.0
1991,RR,Masculino,11279,0.0
1991,RS,Feminino,653241,0.0
1991,RS,Masculino,1014644,0.0
1991,SC,Feminino,294292,0.0
1991,SC,Masculino,542460,0.0
1991,SE,Feminino,55918,0.0
1991,SE,Masculino,93163,0.0
1991,SP,Feminino,2609493,0.0
1991,SP,Masculino,5016686,0.0
1991,TO,Feminino,13799,0.0
1991,TO,Masculino,14530,0.0
1992,AC,Feminino,21367,0.0
1992,AC,Masculino,21558,0.0
1992,AL,Feminino,104949,0.0
1992,AL,Masculino,148279,0.0
1992,AM,Feminino,91139,0.0
1992,AM,Masculino,118841,0.0
1992,AP,Feminino,5185,0.0
1992,AP,Masculino,11315,0.0
1992,BA,Feminino,310129,0.0
1992,BA,Masculino,497885,0.0
1992,CE,Feminino,246358,0.0
1992,CE,Masculino,284767,0.0
1992,DF,Feminino,176375,0.0
1992,DF,Masculino,392199,0.0
1992,ES,Feminino,130362,0.0
1992,ES,Masculino,236418,0.0
1992,GO,Feminino,168419,0.0
1992,GO,Masculino,268233,0.0
1992,MA,Feminino,97670,0.0
1992,MA,Masculino,124377,0.0
1992,MG,Feminino,706689,0.0
1992,MG,Masculino,1368510,0.0
1992,MS,Feminino,77900,0.0
1992,MS,Masculino,144967,0.0
1992,MT,Feminino,43114,0.0
1992,MT,Masculino,105238,0.0
1992,PA,Feminino,129384,0.0
1992,PA,Masculino,221053,0.0
